price,km,fuel,owner
"₹6,60,999","70,555 km",Diesel,2nd Owner
"₹6,53,399","33,836 km",Diesel,1st Owner
"₹5,40,099","62,254 km",Diesel,1st Owner
,,,
"₹4,68,599","56,552 km",Diesel,1st Owner
"₹5,75,199","58,123 km",Diesel,2nd Owner
"₹5,36,599","1,38,351 km",Diesel,2nd Owner
,,,
"₹3,98,499","49,944 km",Diesel,2nd Owner
"₹3,54,299","1,41,516 km",Diesel,1st Owner
"₹3,76,199","1,11,192 km",Diesel,1st Owner
"₹5,53,599","45,347 km",Diesel,3rd Owner
"₹4,68,599","56,552 km",Diesel,1st Owner
"₹5,75,199","58,123 km",Diesel,2nd Owner
,,,
"₹14,54,599","1,88,693 km",Diesel,2nd Owner
"₹17,70,999","1,71,099 km",Diesel,1st Owner
"₹11,36,999","5,822 km",Petrol,1st Owner
"₹3,30,699","1,14,510 km",Diesel,1st Owner
"₹5,53,599","45,347 km",Diesel,3rd Owner
"₹4,68,599","56,552 km",Diesel,1st Owner
,,,
"₹4,82,799","55,437 km",Petrol,3rd Owner
"₹6,79,199","77,990 km",Diesel,1st Owner
"₹4,76,199","23,258 km",Petrol,1st Owner
,,,
"₹12,46,699","74,189 km",Diesel,1st Owner
"₹3,30,699","1,14,510 km",Diesel,1st Owner
"₹5,53,599","45,347 km",Diesel,3rd Owner
,,,
"₹3,30,699","1,14,510 km",Diesel,1st Owner
"₹3,98,499","1,41,516 km",Diesel,1st Owner
"₹3,76,199","1,11,192 km",Diesel,1st Owner
"₹4,55,499","54,918 km",Diesel,1st Owner
"₹12,46,699","74,189 km",Diesel,1st Owner
"₹3,30,699","1,14,510 km",Diesel,1st Owner
,,,
"₹4,05,499","77,035 km",Diesel,1st Owner
"₹3,54,299","49,944 km",Diesel,2nd Owner
"₹3,30,699","1,14,510 km",Diesel,1st Owner
"₹3,54,299","49,944 km",Diesel,2nd Owner
"₹4,55,499","54,918 km",Diesel,1st Owner
"₹12,46,699","74,189 km",Diesel,1st Owner
,,,
"₹4,30,299","1,02,773 km",Diesel,1st Owner
"₹4,68,599","56,552 km",Petrol,1st Owner
"₹4,50,199","50,093 km",Diesel,1st Owner
,,,
"₹3,76,199","1,11,192 km",Diesel,1st Owner
"₹3,54,299","49,944 km",Diesel,2nd Owner
"₹4,55,499","54,918 km",Diesel,1st Owner
,,,
"₹4,55,299","76,264 km",Diesel,1st Owner
"₹3,76,199","1,11,192 km",Diesel,1st Owner
"₹3,54,299","49,944 km",Diesel,2nd Owner
